Numder,Content,Link
19,"Руководитель отдела разработки (Lead Python Developer)
до 400 000 ₽ на руки
Опыт 3-6 лет
АО НИИ МАСШТАБ
Москва
Разработка ПО виртуализации, серверных систем и сервисных приложений (Back - python; Front - JS). Архитектурное проектирование совместно с командой. Подбор и развитие...
Опыт работы с одним или несколькими frameworks: django, flask, asyncio, etc. Опыт работы с реляционными базами данных, RabbitMQ, желательно с...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104101788&hhtmFrom=vacancy_search_list
20,"Python Data Engineer
Опыт 1-3 года
ООО УайтСнейк
Минск
Проектирование, разработка и поддержка конвейеров данных и хранилищ.
Будет плюсом: Опыт работы с веб-фреймворками (Flask / FastAPI /Django). Опыт работы с Kafka / RabbitMQ / Kinesis / SQS. Опыт работы с...
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=86553467&hhtmFrom=vacancy_search_list
1,"Преподаватель программирования для детей
40 000 – 80 000 ₽ на руки
Опыт 1-3 года
Можно удалённо
ENTER ZION
Краснодар
Обучать школьников программированию индивидуально и в группах до 4 человек. Работать по предоставляемым методическим материалам. Вести уроки в онлайн-формате...
Можете объяснить простыми словами сложные определения из учебника. Знаете язык программирования Python: базовое программирование, функциональное программирование, ООП, алгоритмы и типы...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104156173&hhtmFrom=vacancy_search_list
2,"Python разработчик
Опыт 1-3 года
Можно удалённо
LC Group
•Работодатель онлайн
Новосибирск
Развитие и поддержка сервиса многофакторной оценки клиентов в сфере кредитования на базе моделей машинного обучения (скоринг). Разработка и поддержка инструментов...
Имеете опыт работы с Docker и с web-фреймворками (Django, aiohttp, tornado, flask, etc.). Знание и опыт работы с очередями...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=98876602&hhtmFrom=vacancy_search_list
3,"Trainee Python Developer
Опыт 1-3 года
ООО УайтСнейк
Минск
Использование юнит-тестов (pytest).
Уверенные знания языка Python и его основных фреймворков для веб разработки (Django/Flask/FastAPI). Практический опыт от двух месяцев не...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=101832791&hhtmFrom=vacancy_search_list
4,"Python Backend Developer
Опыт 3-6 лет
ООО Норд Клан
•Работодатель онлайн
Санкт-Петербург•Василеостровская и еще 2 
Опыт работы в качестве Python developer от 3-ух лет. Знание фреймворков Django, FastApi или Flask. Знание Apache Airflow, Kafka...
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103282341&hhtmFrom=vacancy_search_list
5,"Python Backend Developer
Опыт 3-6 лет
ООО Норд Клан
•Работодатель онлайн
Ростов-на-Дону
Опыт работы в качестве Python developer от 3-х лет. Знание фреймворков Django, FastApi или Flask. Знание Apache Airflow, Kafka...
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104048443&hhtmFrom=vacancy_search_list
6,"Python Backend Developer
Опыт 3-6 лет
ООО Норд Клан
•Работодатель онлайн
Нижний Новгород
Опыт работы в качестве Python developer от 3-х лет. Знание фреймворков Django, FastApi или Flask. Знание Apache Airflow, Kafka...
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104048444&hhtmFrom=vacancy_search_list
7,"Python Backend Developer
Опыт 3-6 лет
ООО Норд Клан
•Работодатель онлайн
Краснодар
Опыт работы в качестве Python developer от 3-х лет. Знание фреймворков Django, FastApi или Flask. Знание Apache Airflow, Kafka...
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104048445&hhtmFrom=vacancy_search_list
8,"Python Backend Developer
Опыт 3-6 лет
ООО Норд Клан
•Работодатель онлайн
Воронеж
Опыт работы в качестве Python developer от 3-х лет. Знание фреймворков Django, FastApi или Flask. Знание Apache Airflow, Kafka...
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104048446&hhtmFrom=vacancy_search_list
9,"Backend Разработчик (Python)
Опыт 3-6 лет
АО МОСГАЗ
•Работодатель онлайн
Москва•Водный стадион
Разработка и поддержка серверной части веб-приложений на Python. Участие в проектировании архитектуры приложений с использованием фреймворков. Работа с базами...
Фреймворки и библиотеки: Опыт работы с фреймворками для backend разработки на Python, такими как Django, Flask или FastAPI.
Откликнитесь среди первых
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104340707&hhtmFrom=vacancy_search_list
10,"Программист-разработчик Python
Опыт 1-3 года
ТОО Prime Source
Астана
Написание и поддержка проекта. Оптимизация и рефакторинг существующего кода для повышения его производительности и качества. Создание и управление Docker-контейнерами...
Опыт работы с Python не менее 1-2 лет. Знание основных библиотек и фреймворков Python (например, Django, Flask, Pandas).
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103969176&hhtmFrom=vacancy_search_list
11,"Middle Python developer
150 000 – 200 000 ₽ на руки
Опыт 3-6 лет
ООО Селфсек
Москва•Трубная и еще 2 
Написание чистого, понятного кода. Ведение (исправление багов, модернизация, улучшение) разработанного микросервиса.
Опыт работы с веб-фреймворками (flask, fastapi, aiohttp), OpenAPI, сериализаторами (pydantic, marshmallow, etc.). Умение покрывать свой код автотестами (pytest) и...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=72687504&hhtmFrom=vacancy_search_list
12,"Разработчик Python
Опыт более 6 лет
Можно удалённо
ООО ИНФОМЕДИА
•Работодатель онлайн
Москва
Корпоративные сайты (топовые компании страны). Интерактивные стенды, мобильные приложения, AR/VR интерактивы, рекламные концепции для музеев. Геоинформационные сервисы.
Высшее техническое образование. Подтверждённый опыт разработки на Python более 5 лет. Экспертное знание Python, опыт коммерческой разработки 5-7 лет.
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104131893&hhtmFrom=vacancy_search_list
13,"Middle Python Developer
Опыт 3-6 лет
ТОО AVIATA.KZ
Алматы
Разработка web части сайтов. Разработка REST сервисов. Разработка микросервисов . Разработка клиентов для работы со сторонними API. Написание unit тестов.
Уверенное знание Python и одного из web фреймворков (Django/Sanic/Flask/FastApi и прочие). Умение писать асинхронный код с использование...
Отклик без резюме
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=102267678&hhtmFrom=vacancy_search_list
14,"Django Python Developer
Опыт 1-3 года
Можно удалённо
ООО Гринстер
Минск
Опыт работы с Django/Django REST. Глубокое понимание Django: разрешения, фильтры, Django ORM и т. д.. Понимание работы Celery, опыт...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104185794&hhtmFrom=vacancy_search_list
15,"Middle Разработчик Python (Backend)
180 000 – 240 000 ₽ на руки
Опыт 3-6 лет
ООО Корпорация ЗНАК
•Работодатель онлайн
Москва•Савёловская
Разработка и поддержка бэкенд-компонентов модуля ""Честный Знак"". Оптимизация и улучшение производительности существующего кода. Работа в тандеме с другими разработчиками...
Опыт разработки на Python не менее 3 лет, включая опыт работы с фреймворком(и) Flask, Django, FastAPI. Знание принципов ООП.
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103792323&hhtmFrom=vacancy_search_list
16,"Python разработчик
от 80 000 ₽ до вычета налогов
Опыт 1-3 года
ООО ПДВ
Ульяновск
Проектировать компоненты систем. Организовывать процесс разработки. Писать и ревьюить код.
Знаешь Python 3 и имеешь опыт промышленной разработки на Python. Имеешь опыт многопоточного и асинхронного программирования. Также имеешь опыт работы...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103507464&hhtmFrom=vacancy_search_list
17,"Python-разработчик
200 000 – 220 000 ₽ на руки
Опыт 1-3 года
Можно удалённо
ООО Ритейл-Процессинг
Москва
Доработки платежного сервиса и сервиса SmartKit. Управление облачной инфраструктурой платежного сервиса (Yandex.Cloud, k8s). Настройка мониторингов.
Хорошее знание Python, опыт промышленной разработки от 2 года. Опыт использования одного фреймворков - Django, Flask, FastAPI. Опыт асинхронной разработки, использования...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104276440&hhtmFrom=vacancy_search_list
18,"Python - разработчик в AI компанию (удаленно)
150 000 – 150 000 ₽ на руки
Опыт 1-3 года
Университет искусственного интеллекта
•Работодатель онлайн
Санкт-Петербург
Аналитику продаж по каналам трафика (ROMI, CPL). Когортный анализ - как быстро трафик оборачивается в деньги. Аналитика результатов вебинаров - заявки, продажи.
...Python-разработчиком от 1 года. Python 3.7+. Python-библиотеки: Pandas 1.3+, Numpy. Django 2+, Flask...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=101154908&hhtmFrom=vacancy_search_list
19,"Python-разработчик
до 470 000 ₽ на руки
Опыт 3-6 лет
Точка
Москва
Есть возможность работать с kubernetes, consul, vault. Реже используем django и flask. Много асинхронного взаимодействия на rabbitmq, kafka и работы...
Есть опыт работы с Python 3, asyncio (async/await), веб-фреймоворками (aiohttp/fastAPI/flask/Django), ORM (peewee, SQLAlchemy, Django ORM).
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103482417&hhtmFrom=vacancy_search_list
20,"Middle Python backend developer (FastAPI)
до 150 000 ₽ на руки
Опыт 1-3 года
ООО РА Дельта
Москва
Необходимые навыки: Уверенно владеть Python 3, понимать отличия от Python 2. Иметь опыт работы с FastAPI (с использованием асинхронности) и...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=102571268&hhtmFrom=vacancy_search_list
1,"Python разработчик
Опыт 1-3 года
Можно удалённо
LC Group
•Работодатель онлайн
Новосибирск
Развитие и поддержка сервиса многофакторной оценки клиентов в сфере кредитования на базе моделей машинного обучения (скоринг). Разработка и поддержка инструментов...
Имеете опыт работы с Docker и с web-фреймворками (Django, aiohttp, tornado, flask, etc.). Знание и опыт работы с очередями...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=98876602&hhtmFrom=vacancy_search_list
2,"Trainee Python Developer
Опыт 1-3 года
ООО УайтСнейк
Минск
Использование юнит-тестов (pytest).
Уверенные знания языка Python и его основных фреймворков для веб разработки (Django/Flask/FastAPI). Практический опыт от двух месяцев не...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=101832791&hhtmFrom=vacancy_search_list
3,"Python Backend Developer
Опыт 3-6 лет
ООО Норд Клан
•Работодатель онлайн
Санкт-Петербург•Василеостровская и еще 2 
Опыт работы в качестве Python developer от 3-ух лет. Знание фреймворков Django, FastApi или Flask. Знание Apache Airflow, Kafka...
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103282341&hhtmFrom=vacancy_search_list
4,"Python Backend Developer
Опыт 3-6 лет
ООО Норд Клан
•Работодатель онлайн
Ростов-на-Дону
Опыт работы в качестве Python developer от 3-х лет. Знание фреймворков Django, FastApi или Flask. Знание Apache Airflow, Kafka...
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104048443&hhtmFrom=vacancy_search_list
5,"Python Backend Developer
Опыт 3-6 лет
ООО Норд Клан
•Работодатель онлайн
Нижний Новгород
Опыт работы в качестве Python developer от 3-х лет. Знание фреймворков Django, FastApi или Flask. Знание Apache Airflow, Kafka...
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104048444&hhtmFrom=vacancy_search_list
6,"Python Backend Developer
Опыт 3-6 лет
ООО Норд Клан
•Работодатель онлайн
Краснодар
Опыт работы в качестве Python developer от 3-х лет. Знание фреймворков Django, FastApi или Flask. Знание Apache Airflow, Kafka...
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104048445&hhtmFrom=vacancy_search_list
7,"Python Backend Developer
Опыт 3-6 лет
ООО Норд Клан
•Работодатель онлайн
Воронеж
Опыт работы в качестве Python developer от 3-х лет. Знание фреймворков Django, FastApi или Flask. Знание Apache Airflow, Kafka...
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104048446&hhtmFrom=vacancy_search_list
8,"Backend Разработчик (Python)
Опыт 3-6 лет
АО МОСГАЗ
Москва•Водный стадион
Разработка и поддержка серверной части веб-приложений на Python. Участие в проектировании архитектуры приложений с использованием фреймворков. Работа с базами...
Фреймворки и библиотеки: Опыт работы с фреймворками для backend разработки на Python, такими как Django, Flask или FastAPI.
Откликнитесь среди первых
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104340707&hhtmFrom=vacancy_search_list
9,"Программист-разработчик Python
Опыт 1-3 года
ТОО Prime Source
Астана
Написание и поддержка проекта. Оптимизация и рефакторинг существующего кода для повышения его производительности и качества. Создание и управление Docker-контейнерами...
Опыт работы с Python не менее 1-2 лет. Знание основных библиотек и фреймворков Python (например, Django, Flask, Pandas).
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103969176&hhtmFrom=vacancy_search_list
10,"Middle Python developer
150 000 – 200 000 ₽ на руки
Опыт 3-6 лет
ООО Селфсек
Москва•Трубная и еще 2 
Написание чистого, понятного кода. Ведение (исправление багов, модернизация, улучшение) разработанного микросервиса.
Опыт работы с веб-фреймворками (flask, fastapi, aiohttp), OpenAPI, сериализаторами (pydantic, marshmallow, etc.). Умение покрывать свой код автотестами (pytest) и...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=72687504&hhtmFrom=vacancy_search_list
11,"Разработчик Python
Опыт более 6 лет
Можно удалённо
ООО ИНФОМЕДИА
•Работодатель онлайн
Москва
Корпоративные сайты (топовые компании страны). Интерактивные стенды, мобильные приложения, AR/VR интерактивы, рекламные концепции для музеев. Геоинформационные сервисы.
Высшее техническое образование. Подтверждённый опыт разработки на Python более 5 лет. Экспертное знание Python, опыт коммерческой разработки 5-7 лет.
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104131893&hhtmFrom=vacancy_search_list
12,"Middle Python Developer
Опыт 3-6 лет
ТОО AVIATA.KZ
Алматы
Разработка web части сайтов. Разработка REST сервисов. Разработка микросервисов . Разработка клиентов для работы со сторонними API. Написание unit тестов.
Уверенное знание Python и одного из web фреймворков (Django/Sanic/Flask/FastApi и прочие). Умение писать асинхронный код с использование...
Отклик без резюме
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=102267678&hhtmFrom=vacancy_search_list
13,"Django Python Developer
Опыт 1-3 года
Можно удалённо
ООО Гринстер
Минск
Опыт работы с Django/Django REST. Глубокое понимание Django: разрешения, фильтры, Django ORM и т. д.. Понимание работы Celery, опыт...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104185794&hhtmFrom=vacancy_search_list
14,"Middle Разработчик Python (Backend)
180 000 – 240 000 ₽ на руки
Опыт 3-6 лет
ООО Корпорация ЗНАК
•Работодатель онлайн
Москва•Савёловская
Разработка и поддержка бэкенд-компонентов модуля ""Честный Знак"". Оптимизация и улучшение производительности существующего кода. Работа в тандеме с другими разработчиками...
Опыт разработки на Python не менее 3 лет, включая опыт работы с фреймворком(и) Flask, Django, FastAPI. Знание принципов ООП.
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103792323&hhtmFrom=vacancy_search_list
15,"Python разработчик
от 80 000 ₽ до вычета налогов
Опыт 1-3 года
ООО ПДВ
Ульяновск
Проектировать компоненты систем. Организовывать процесс разработки. Писать и ревьюить код.
Знаешь Python 3 и имеешь опыт промышленной разработки на Python. Имеешь опыт многопоточного и асинхронного программирования. Также имеешь опыт работы...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103507464&hhtmFrom=vacancy_search_list
16,"Python-разработчик
200 000 – 220 000 ₽ на руки
Опыт 1-3 года
Можно удалённо
ООО Ритейл-Процессинг
Москва
Доработки платежного сервиса и сервиса SmartKit. Управление облачной инфраструктурой платежного сервиса (Yandex.Cloud, k8s). Настройка мониторингов.
Хорошее знание Python, опыт промышленной разработки от 2 года. Опыт использования одного фреймворков - Django, Flask, FastAPI. Опыт асинхронной разработки, использования...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104276440&hhtmFrom=vacancy_search_list
17,"Python - разработчик в AI компанию (удаленно)
150 000 – 150 000 ₽ на руки
Опыт 1-3 года
Университет искусственного интеллекта
•Работодатель онлайн
Санкт-Петербург
Аналитику продаж по каналам трафика (ROMI, CPL). Когортный анализ - как быстро трафик оборачивается в деньги. Аналитика результатов вебинаров - заявки, продажи.
...Python-разработчиком от 1 года. Python 3.7+. Python-библиотеки: Pandas 1.3+, Numpy. Django 2+, Flask...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=101154908&hhtmFrom=vacancy_search_list
18,"Python-разработчик
до 470 000 ₽ на руки
Опыт 3-6 лет
Точка
Москва
Есть возможность работать с kubernetes, consul, vault. Реже используем django и flask. Много асинхронного взаимодействия на rabbitmq, kafka и работы...
Есть опыт работы с Python 3, asyncio (async/await), веб-фреймоворками (aiohttp/fastAPI/flask/Django), ORM (peewee, SQLAlchemy, Django ORM).
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103482417&hhtmFrom=vacancy_search_list
19,"Middle Python backend developer (FastAPI)
до 150 000 ₽ на руки
Опыт 1-3 года
ООО РА Дельта
Москва
Необходимые навыки: Уверенно владеть Python 3, понимать отличия от Python 2. Иметь опыт работы с FastAPI (с использованием асинхронности) и...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=102571268&hhtmFrom=vacancy_search_list
20,"Middle / senior fullstack программист на python
Опыт 3-6 лет
ТОО Qozhan Consulting
•Работодатель онлайн
Алматы
Предстоящие задачи: Разработка на FastAPI/Django. Разработка REST сервисов на DRF. Разработка async сервисов. Разработка клиентов для работы со сторонними...
Опыт коммерческой веб разработки на языке Python (Django, FastAPI, Flask или другие аналоги). Опыт работы с API (REST).
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103773768&hhtmFrom=vacancy_search_list
